text,label,text_length,cleaned_text
Your PayPal account has been limited. Verify your information: http://paypal-secure-verify.com,1,94,paypal account limited. verify information URL
"Hey, are we still on for dinner tonight? Let me know what time works for you.",0,77,hey still dinner tonight let know time work
Microsoft Windows Alert: Virus detected. Download removal tool: http://fake-antivirus.com,1,89,microsoft window alert virus detected. download removal tool URL
"Hi John, our meeting is scheduled for tomorrow at 2 PM in conference room B.",0,76,john meeting scheduled tomorrow conference room
Monthly newsletter: Check out our latest updates and features.,0,62,monthly newsletter check latest update feature
"New sign-in from Chrome on Windows. If this was you, you can ignore this message.",0,81,new signin chrome windows. ignore message
You have a new connection request on LinkedIn from Jane Doe.,0,60,new connection request linkedin jane doe
Your friend shared a photo with you. View it here: http://malicious-link-photos.com,1,83,friend shared photo you. view URL
URGENT: Your bank account will be suspended within 24 hours. Verify now: http://secure-bank-verify.com,1,102,urgent bank account suspended within hours. verify URL
"Congratulations! You won $1,000,000 in the lottery! Claim your prize: http://claim-prize-now.com",1,96,congratulation lottery claim prize URL
Netflix: Payment failed. Update your billing information: http://netflix-billing-update.com,1,91,netflix payment failed. update billing information URL
Your subscription will renew automatically on July 1st. No action needed.,0,73,subscription renew automatically july st. action needed
Invoice #INV-98432 for $299.99 is pending. View details: http://fake-invoice-payment.com,1,88,invoice inv pending. view detail URL
Apple iCloud Security: Unusual activity. Verify account: http://icloud-security-verification.com,1,96,apple icloud security unusual activity. verify account URL
"Mom, can you send me that recipe for chocolate cake? Thanks!",0,60,mom send recipe chocolate cake thanks
Thank you for your purchase! Your order confirmation is attached.,0,65,thank purchase order confirmation attached
ALERT: Suspicious activity detected on your account. Verify identity: http://security-verification.net,1,102,alert suspicious activity detected account. verify identity URL
Payment confirmation required for order #ORD-76321: http://payment-verification-service.com,1,91,payment confirmation required order ord URL
Reminder: Company training session tomorrow at 10 AM in the main auditorium.,0,76,reminder company training session tomorrow main auditorium
Your delivery will arrive between 2-4 PM today. Track your package on our website.,0,82,delivery arrive today. track package website
We noticed a new login to your account from a new device.,0,57,noticed new login account new device
Your Amazon order #123-4567890 has been shipped. Track your package: https://amazon.com/track,0,93,amazon order shipped. track package URL
Your post received 15 likes and 3 comments.,0,43,post received like comment
Please find the meeting agenda attached. Looking forward to our discussion.,0,75,please find meeting agenda attached. looking forward discussion
Your friend Sarah commented on your post: 'Great photo!',0,56,friend sarah commented post great photo
"Team, please review the attached report and provide feedback by EOD.",0,68,team please review attached report provide feedback eod
Reminder: Your dental appointment is tomorrow at 3:00 PM.,0,57,reminder dental appointment tomorrow
"Hi, I need your help urgently. Can you send me the documents? http://fake-file-share.com",1,88,need help urgently. send document URL
The software update is ready to install. Please save your work and restart.,0,75,software update ready install. please save work restart
You are our lucky winner! Click here to claim your iPhone: http://free-gift-offer.com/redeem,1,92,lucky winner click claim iphone URL
Instagram: Someone tagged you in a photo. View it now: http://insta-photo-tag.com,1,81,instagram someone tagged photo. view URL
Your monthly statement is now available. Log in to your account to view.,0,72,monthly statement available. log account view
Immediate action required: Unusual login detected. Secure your account: http://fake-security.com/login,1,102,immediate action required unusual login detected. secure account URL
Security Breach: Your password has been compromised. Reset now: http://fake-reset-portal.com,1,92,security breach password compromised. reset URL
Two-factor authentication has been enabled for your account.,0,60,twofactor authentication enabled account
Facebook: Your account will be deleted. Confirm your identity: http://facebook-security-check.com,1,97,facebook account deleted. confirm identity URL
Amazon: Unusual login attempt. Secure your account: http://amazon-account-protection.com,1,88,amazon unusual login attempt. secure account URL
Account Alert: Multiple failed login attempts. Click here to review: http://phishing-bank.com/secure,1,100,account alert multiple failed login attempts. click review URL
The project deadline has been extended to next Friday. Please adjust your schedules accordingly.,0,96,project deadline extended next friday. please adjust schedule accordingly
You're hired! $5000/month remote job. Start immediately: http://fake-job-offer.com/accept,1,89,youre hired month remote job. start immediately URL
Welcome to our service! Confirm your email address to get started.,0,66,welcome service confirm email address get started
Cash prize waiting! You've been selected for a $500 gift card: http://exclusive-rewards.com/claim,1,97,cash prize waiting youve selected gift card URL
"Your password was successfully changed. If this wasn't you, contact support.",0,76,password successfully changed. wasnt contact support
